Pitcher,AutoPitchType,PitchCall,SpinRate
,,,0.0
"Dallas, Micah",Sinker,InPlay,2017.66788
"Dallas, Micah",Four-Seam,FoulBall,2048.062857
"Dallas, Micah",Slider,BallCalled,2088.507636
"Dallas, Micah",Slider,BallCalled,2238.090708
"Dallas, Micah",Slider,InPlay,2159.83367
"Dallas, Micah",Slider,StrikeCalled,1963.038934
"Dallas, Micah",Sinker,BallCalled,1960.818743
"Dallas, Micah",Changeup,BallCalled,1470.520447
"Dallas, Micah",Slider,StrikeCalled,2155.11913
"Dallas, Micah",Four-Seam,BallCalled,2105.384037
"Dallas, Micah",Slider,StrikeSwinging,2072.676452
"Dallas, Micah",Sinker,StrikeCalled,2053.604395
"Dallas, Micah",Sinker,BallCalled,1947.890634
"Dallas, Micah",Four-Seam,InPlay,2047.470614
"Dallas, Micah",Slider,FoulBall,2010.886795
"Dallas, Micah",Sinker,FoulBall,2133.001114
"Dallas, Micah",Slider,InPlay,2060.496135
"Smith, Hagen",Sinker,BallCalled,2165.618216
"Smith, Hagen",Sinker,StrikeCalled,2194.313154
"Smith, Hagen",Slider,InPlay,2322.516663
"Smith, Hagen",Four-Seam,FoulBall,2017.614629
"Smith, Hagen",Changeup,BallCalled,1723.931749
"Smith, Hagen",Sinker,StrikeCalled,2117.340516
"Smith, Hagen",Sinker,BallCalled,2027.534904
"Smith, Hagen",Changeup,InPlay,1755.731244
"Smith, Hagen",Sinker,BallCalled,2000.659275
"Smith, Hagen",Slider,StrikeCalled,2227.276212
"Smith, Hagen",Sinker,BallCalled,1986.698749
"Smith, Hagen",Sinker,StrikeCalled,2092.073769
"Smith, Hagen",Sinker,FoulBall,2136.260467
"Smith, Hagen",Sinker,BallCalled,2093.183092
"Smith, Hagen",Four-Seam,BallCalled,2116.680175
"Smith, Hagen",Changeup,InPlay,1754.620138
"Smith, Hagen",Sinker,BallCalled,2146.625589
"Smith, Hagen",Sinker,BallCalled,2156.147094
"Smith, Hagen",Sinker,StrikeCalled,2243.070737
"Smith, Hagen",Sinker,HitByPitch,2092.643846
"Smith, Hagen",Sinker,BallCalled,1951.520211
"Smith, Hagen",Four-Seam,BallCalled,2118.417589
"Smith, Hagen",Four-Seam,InPlay,2019.159429
"Dallas, Micah",Sinker,StrikeCalled,2120.131655
"Dallas, Micah",Sinker,InPlay,2072.524062
"Dallas, Micah",Sinker,InPlay,2132.298059
"Dallas, Micah",Slider,StrikeSwinging,2076.454188
"Dallas, Micah",Slider,BallinDirt,2080.945526
"Dallas, Micah",Slider,StrikeCalled,2025.883086
"Dallas, Micah",Slider,FoulBall,2048.12791
"Dallas, Micah",Slider,InPlay,2029.529034
"Dallas, Micah",Slider,BallCalled,1987.84943
"Dallas, Micah",Slider,BallinDirt,2037.338593
"Dallas, Micah",Four-Seam,FoulBall,2083.606462
"Dallas, Micah",Sinker,BallCalled,1892.578108
"Dallas, Micah",Four-Seam,BallCalled,2005.579068
"Dallas, Micah",Slider,BallCalled,2007.502434
"Dallas, Micah",Slider,StrikeCalled,2073.275028
"Dallas, Micah",Slider,StrikeCalled,2093.440164
"Dallas, Micah",Sinker,FoulBall,2049.962353
"Dallas, Micah",Slider,FoulBall,2023.992425
"Dallas, Micah",Slider,BallCalled,1960.333333
"Dallas, Micah",Sinker,InPlay,2049.955301
"Smith, Hagen",Slider,InPlay,2133.133683
"Smith, Hagen",Sinker,BallCalled,2057.708104
"Smith, Hagen",Sinker,StrikeCalled,2028.908379
"Smith, Hagen",Changeup,BallCalled,1792.448662
